configuration,video_id,n_pairs,n_positive,n_negative,auroc,pr_auc,f1_at_locked_threshold,false_match_rate_at_locked_90_recall_threshold,achieved_recall_at_locked_90_recall_threshold,locked_f1_threshold,locked_90_recall_threshold
A_rgb_only,2481,159,100,59,0.809661016949,0.885906117079,0.796019900498,0.491525423729,0.88,0.4627167893231564,0.3700743525780599
A_rgb_only,2854,244,100,144,0.790972222222,0.804956338211,0.66985645933,0.534722222222,0.82,0.4627167893231564,0.3700743525780599
A_rgb_only,3851,248,100,148,0.636891891892,0.559486239627,0.561538461538,0.72972972973,0.88,0.4627167893231564,0.3700743525780599
A_rgb_only,6159,186,100,86,0.85511627907,0.883438668922,0.776595744681,0.372093023256,0.86,0.4627167893231564,0.3700743525780599
A_rgb_only,6268,143,100,43,0.843720930233,0.932769507573,0.746987951807,0.209302325581,0.77,0.4627167893231564,0.3700743525780599
A_rgb_only,7772,163,100,63,0.893015873016,0.940700363537,0.831578947368,0.333333333333,0.92,0.4627167893231564,0.3700743525780599
A_rgb_only,8193,222,100,122,0.682868852459,0.717129576102,0.603773584906,0.606557377049,0.77,0.4627167893231564,0.3700743525780599
A_rgb_only,8879,250,100,150,0.617933333333,0.5637914472,0.558823529412,0.7,0.87,0.4627167893231564,0.3700743525780599
A_rgb_only,9009,208,100,108,0.756574074074,0.791690643429,0.666666666667,0.574074074074,0.81,0.4627167893231564,0.3700743525780599
A_rgb_only,9403,177,100,77,0.684805194805,0.702965403065,0.731481481481,0.597402597403,0.89,0.4627167893231564,0.3700743525780599
B_rgb_2d,2481,159,100,59,0.881694915254,0.93117369799,0.845360824742,0.203389830508,0.81,0.43170553389623967,0.4376130904969784
B_rgb_2d,2854,244,100,144,0.837361111111,0.810423239129,0.681818181818,0.513888888889,0.9,0.43170553389623967,0.4376130904969784
B_rgb_2d,3851,248,100,148,0.753648648649,0.670994087431,0.634686346863,0.574324324324,0.86,0.43170553389623967,0.4376130904969784
B_rgb_2d,6159,186,100,86,0.896162790698,0.921703895076,0.815165876777,0.290697674419,0.86,0.43170553389623967,0.4376130904969784
B_rgb_2d,6268,143,100,43,0.713255813953,0.82171578258,0.82,0.418604651163,0.81,0.43170553389623967,0.4376130904969784
B_rgb_2d,7772,163,100,63,0.899206349206,0.94287731147,0.843049327354,0.460317460317,0.94,0.43170553389623967,0.4376130904969784
B_rgb_2d,8193,222,100,122,0.917131147541,0.879285969816,0.812182741117,0.131147540984,0.8,0.43170553389623967,0.4376130904969784
B_rgb_2d,8879,250,100,150,0.796066666667,0.689676903173,0.71186440678,0.34,0.82,0.43170553389623967,0.4376130904969784
B_rgb_2d,9009,208,100,108,0.846388888889,0.77418565962,0.798076923077,0.222222222222,0.83,0.43170553389623967,0.4376130904969784
B_rgb_2d,9403,177,100,77,0.749350649351,0.763155744506,0.738738738739,0.519480519481,0.82,0.43170553389623967,0.4376130904969784
C_rgb_2d_3d,2481,159,100,59,0.93593220339,0.960799739433,0.87922705314,0.152542372881,0.85,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,2854,244,100,144,0.941458333333,0.922599769387,0.719101123596,0.354166666667,0.95,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,3851,248,100,148,0.755540540541,0.675619704949,0.643939393939,0.432432432432,0.78,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,6159,186,100,86,0.952441860465,0.96278598582,0.858447488584,0.162790697674,0.9,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,6268,143,100,43,0.897674418605,0.952747110628,0.893203883495,0.255813953488,0.79,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,7772,163,100,63,0.913650793651,0.949110945748,0.847161572052,0.428571428571,0.95,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,8193,222,100,122,0.965245901639,0.962652615084,0.877358490566,0.090163934426,0.91,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,8879,250,100,150,0.841133333333,0.766516994455,0.717557251908,0.353333333333,0.89,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,9009,208,100,108,0.895277777778,0.888859026336,0.792792792793,0.212962962963,0.79,0.37928010903953285,0.5048223161175864
C_rgb_2d_3d,9403,177,100,77,0.844285714286,0.862256182877,0.822510822511,0.415584415584,0.88,0.37928010903953285,0.5048223161175864
geometry_only,2481,159,100,59,0.907457627119,0.939772714977,0.845771144279,0.254237288136,0.85,0.45117200198761054,0.473062580975553
geometry_only,2854,244,100,144,0.882291666667,0.82636315854,0.712230215827,0.534722222222,0.99,0.45117200198761054,0.473062580975553
geometry_only,3851,248,100,148,0.737635135135,0.625532976495,0.653386454183,0.452702702703,0.8,0.45117200198761054,0.473062580975553
geometry_only,6159,186,100,86,0.910697674419,0.922440168152,0.85046728972,0.255813953488,0.91,0.45117200198761054,0.473062580975553
geometry_only,6268,143,100,43,0.903488372093,0.957139366689,0.886699507389,0.302325581395,0.89,0.45117200198761054,0.473062580975553
geometry_only,7772,163,100,63,0.805079365079,0.866008569509,0.836206896552,0.555555555556,0.97,0.45117200198761054,0.473062580975553
