dataset,condition_id,translation_std_scene_units,rotation_std_degrees,split,auroc,pr_auc,false_match_rate,recall,f1,test_noise_minus_clean_auroc,test_paired_ci_low,test_paired_ci_high
movi_d,N_t0p1_r0p5,0.1,0.5,test,0.984881,0.985979495137,0.032,0.871,0.924250127097,-7.1e-05,-0.000407980023,0.00027410418
movi_d,N_t0p1_r1,0.1,1.0,dev,0.986396,0.988017368513,0.026,0.897,0.936927772126,,,
movi_d,N_t0p1_r1,0.1,1.0,test,0.985024,0.986026645031,0.032,0.87,0.922842639594,7.2e-05,-0.000479547282,0.000630279576
movi_d,N_t0p1_r2,0.1,2.0,dev,0.986172,0.987882213498,0.026,0.9,0.93509127789,,,
movi_d,N_t0p1_r2,0.1,2.0,test,0.984382,0.985424313264,0.034,0.875,0.922295581513,-0.00057,-0.00174779408,0.000562786851
movi_d,N_t0p1_r5,0.1,5.0,dev,0.983768,0.985483547204,0.032,0.883,0.932246561386,,,
movi_d,N_t0p1_r5,0.1,5.0,test,0.982093,0.983110759033,0.04,0.865,0.920506329114,-0.002859,-0.004040237422,-0.001699087582
movi_d,N_t0p25_r0,0.25,0.0,dev,0.98557,0.987032980884,0.026,0.887,0.934550989346,,,
movi_d,N_t0p25_r0,0.25,0.0,test,0.984004,0.985096802732,0.036,0.863,0.924089068826,-0.000948,-0.001873627282,-0.000115986659
movi_d,N_t0p25_r0p1,0.25,0.1,dev,0.985479,0.987060047587,0.025,0.888,0.933536276002,,,
movi_d,N_t0p25_r0p1,0.25,0.1,test,0.983481,0.984574798601,0.037,0.868,0.919412062848,-0.001471,-0.002689288365,-0.000250218994
movi_d,N_t0p25_r0p5,0.25,0.5,dev,0.985601,0.987179173766,0.027,0.884,0.932658227848,,,
movi_d,N_t0p25_r0p5,0.25,0.5,test,0.983408,0.984582993329,0.037,0.866,0.920245398773,-0.001544,-0.002694349736,-0.00052399505
movi_d,N_t0p25_r1,0.25,1.0,dev,0.986071,0.987786261401,0.024,0.886,0.940101522843,,,
movi_d,N_t0p25_r1,0.25,1.0,test,0.983615,0.984663953573,0.03,0.862,0.92135971588,-0.001337,-0.002325721765,-0.000459997722
movi_d,N_t0p25_r2,0.25,2.0,dev,0.983985,0.985778930185,0.031,0.886,0.932794340576,,,
movi_d,N_t0p25_r2,0.25,2.0,test,0.983057,0.984059193391,0.037,0.873,0.919469928644,-0.001895,-0.003533419463,-0.000439232943
movi_d,N_t0p25_r5,0.25,5.0,dev,0.981462,0.983361155783,0.033,0.861,0.922448979592,,,
movi_d,N_t0p25_r5,0.25,5.0,test,0.97848,0.979936533255,0.048,0.858,0.910478128179,-0.006472,-0.009864596037,-0.003391534429
movi_d,N_t0p5_r0,0.5,0.0,dev,0.977052,0.979157893781,0.038,0.855,0.909928352098,,,
movi_d,N_t0p5_r0,0.5,0.0,test,0.975144,0.976950495382,0.037,0.828,0.899531494014,-0.009808,-0.014090826801,-0.006244459131
movi_d,N_t0p5_r0p1,0.5,0.1,dev,0.977472,0.980021357688,0.03,0.854,0.914432989691,,,
movi_d,N_t0p5_r0p1,0.5,0.1,test,0.978054,0.979236891944,0.037,0.843,0.904615384615,-0.006898,-0.010830923699,-0.003802423381
movi_d,N_t0p5_r0p5,0.5,0.5,dev,0.979388,0.981456033774,0.035,0.862,0.918032786885,,,
movi_d,N_t0p5_r0p5,0.5,0.5,test,0.976372,0.977530809855,0.038,0.823,0.902792140641,-0.00858,-0.012198275335,-0.005444876102
movi_d,N_t0p5_r1,0.5,1.0,dev,0.978184,0.980547118427,0.033,0.861,0.917864476386,,,
movi_d,N_t0p5_r1,0.5,1.0,test,0.977429,0.978539610298,0.039,0.844,0.909933093155,-0.007523,-0.010673430466,-0.004835245328
movi_d,N_t0p5_r2,0.5,2.0,dev,0.978709,0.981133902819,0.031,0.858,0.918586789555,,,
movi_d,N_t0p5_r2,0.5,2.0,test,0.976459,0.978173410748,0.039,0.847,0.908624229979,-0.008493,-0.012037890386,-0.005215860803
movi_d,N_t0p5_r5,0.5,5.0,dev,0.97436,0.976937031559,0.038,0.833,0.902021772939,,,
movi_d,N_t0p5_r5,0.5,5.0,test,0.968656,0.970674421996,0.044,0.812,0.895692786715,-0.016296,-0.020680473466,-0.012198541162
movi_e,N_t0_r0,0.0,0.0,dev,0.991853,0.992675517955,0.01,0.9,0.954034729316,,,
movi_e,N_t0_r0,0.0,0.0,test,0.994183,0.994769800865,0.007,0.916,0.960606060606,0.0,0.0,0.0
movi_e,N_t0_r0p1,0.0,0.1,dev,0.991851,0.992669591949,0.01,0.9,0.953500255493,,,
movi_e,N_t0_r0p1,0.0,0.1,test,0.994228,0.994808270154,0.007,0.915,0.960606060606,4.5e-05,-1.003009e-06,0.000107429395
movi_e,N_t0_r0p5,0.0,0.5,dev,0.991793,0.99263002184,0.011,0.902,0.952526799387,,,
movi_e,N_t0_r0p5,0.0,0.5,test,0.994268,0.994838014075,0.007,0.919,0.960080848914,8.5e-05,-2.9058118e-05,0.000208375924
movi_e,N_t0_r1,0.0,1.0,dev,0.991721,0.992549983674,0.012,0.899,0.951505870342,,,
movi_e,N_t0_r1,0.0,1.0,test,0.994183,0.994769148609,0.008,0.915,0.960080848914,0.0,-0.00016052217,0.00016600481
movi_e,N_t0_r2,0.0,2.0,dev,0.991527,0.992262608958,0.01,0.9,0.953595104539,,,
movi_e,N_t0_r2,0.0,2.0,test,0.993874,0.994535808083,0.006,0.908,0.963112683173,-0.000309,-0.000962084235,0.000228476926
movi_e,N_t0_r5,0.0,5.0,dev,0.985459,0.986801166599,0.014,0.854,0.932851239669,,,
movi_e,N_t0_r5,0.0,5.0,test,0.98814,0.988874687443,0.015,0.856,0.940512820513,-0.006043,-0.009199393429,-0.003456515801
movi_e,N_t0p01_r0,0.01,0.0,dev,0.991857,0.992676402317,0.01,0.899,0.953547728433,,,
movi_e,N_t0p01_r0,0.01,0.0,test,0.994151,0.994736890626,0.007,0.917,0.960121150934,-3.2e-05,-8.6487677e-05,1.5000015e-05
movi_e,N_t0p01_r0p1,0.01,0.1,dev,0.99187,0.992695439986,0.01,0.9,0.953500255493,,,
movi_e,N_t0p01_r0p1,0.01,0.1,test,0.994207,0.9947918226,0.007,0.913,0.960121150934,2.4e-05,-1.6032512e-05,6.9724275e-05
movi_e,N_t0p01_r0p5,0.01,0.5,dev,0.991701,0.99254556037,0.011,0.904,0.952040816327,,,
movi_e,N_t0p01_r0p5,0.01,0.5,test,0.994169,0.994766766313,0.007,0.916,0.960566228514,-1.4e-05,-0.00014272155,9.3377908e-05
movi_e,N_t0p01_r1,0.01,1.0,dev,0.99178,0.992613466004,0.011,0.9,0.952623535405,,,
movi_e,N_t0p01_r1,0.01,1.0,test,0.994308,0.994883927416,0.006,0.918,0.960685483871,0.000125,-0.000109006636,0.000390011307
movi_e,N_t0p01_r2,0.01,2.0,dev,0.990957,0.991767711675,0.013,0.9,0.948652770717,,,
movi_e,N_t0p01_r2,0.01,2.0,test,0.993517,0.994077662123,0.009,0.911,0.95652173913,-0.000666,-0.001422577423,-9.5367714e-05
movi_e,N_t0p01_r5,0.01,5.0,dev,0.984562,0.985906697593,0.018,0.852,0.93051981472,,,
movi_e,N_t0p01_r5,0.01,5.0,test,0.989316,0.990169972303,0.01,0.851,0.944245524297,-0.004867,-0.007960464953,-0.002514026017
