dataset,stratum_variable,stratum_level,system,pairs,positives,negatives,auroc,pr_auc,false_match_rate,recall,threshold_source
movi_d,minimum_visibility,medium,C_camera_geometry,640,308,332,0.9868076200907526,0.9874593947165088,0.018072289156626505,0.8766233766233766,development_locked_90_recall
movi_d,minimum_visibility,medium,D_pose_aligned_geometry,640,308,332,0.989223126271319,0.9892898259225542,0.012048192771084338,0.8733766233766234,development_locked_90_recall
movi_d,minimum_visibility,medium,G_camera_geometry_only,640,308,332,0.9838835862932248,0.9857696817332015,0.02710843373493976,0.8896103896103896,development_locked_90_recall
movi_d,minimum_visibility,medium,G_pose_aligned_geometry_only,640,308,332,0.9856829917070881,0.9859756514559065,0.03313253012048193,0.8831168831168831,development_locked_90_recall
movi_d,minimum_visibility,medium,P_pose_only,640,308,332,0.5,0.48125,1.0,1.0,development_locked_90_recall
movi_d,minimum_visibility,medium,S_shuffled_pose,640,308,332,0.9850766703176342,0.9860368682159525,0.02108433734939759,0.8733766233766234,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,A_rgb,233,197,36,0.8446136491821771,0.9705343564675718,0.08333333333333333,0.6192893401015228,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,B_rgb_2d,233,197,36,0.8722504230118443,0.9753924926011991,0.05555555555555555,0.6345177664974619,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,C_camera_geometry,233,197,36,0.9369712351945855,0.9881841567041887,0.0,0.5786802030456852,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,D_pose_aligned_geometry,233,197,36,0.8637901861252115,0.9703542112573295,0.1111111111111111,0.583756345177665,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,G_camera_geometry_only,233,197,36,0.8963620981387479,0.9790924895975974,0.0,0.5329949238578681,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,G_pose_aligned_geometry_only,233,197,36,0.7855329949238579,0.9435680410755624,0.2777777777777778,0.5888324873096447,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,P_pose_only,233,197,36,0.5,0.8454935622317596,1.0,1.0,development_locked_90_recall
movi_d,dynamic_status,dynamic-dynamic,S_shuffled_pose,233,197,36,0.902848279751833,0.9815155318297153,0.0,0.5532994923857868,development_locked_90_recall
movi_d,dynamic_status,dynamic-static,A_rgb,410,0,410,,,0.15121951219512195,,development_locked_90_recall
movi_d,dynamic_status,dynamic-static,B_rgb_2d,410,0,410,,,0.05609756097560976,,development_locked_90_recall
movi_d,dynamic_status,dynamic-static,C_camera_geometry,410,0,410,,,0.01951219512195122,,development_locked_90_recall
movi_d,dynamic_status,dynamic-static,D_pose_aligned_geometry,410,0,410,,,0.02926829268292683,,development_locked_90_recall
movi_d,dynamic_status,dynamic-static,G_camera_geometry_only,410,0,410,,,0.041463414634146344,,development_locked_90_recall
